playerID,year_ID,WAR
aaronha01,1954,1.42
aaronha01,1955,6.24
aaronha01,1956,7.18
aaronha01,1957,7.96
aaronha01,1958,7.32
aaronha01,1959,8.64
aaronha01,1960,8
aaronha01,1961,9.45
aaronha01,1962,8.54
aaronha01,1963,9.12
aaronha01,1964,6.82
aaronha01,1965,7.85
aaronha01,1966,7.85
aaronha01,1967,8.51
aaronha01,1968,6.79
aaronha01,1969,8.06
aaronha01,1970,5.01
aaronha01,1971,7.24
aaronha01,1972,3.92
aaronha01,1973,4.65
aaronha01,1974,2.06
aaronha01,1975,0.06
aaronha01,1976,0.41
aaronto01,1962,0.92
aaronto01,1963,-1.31
aaronto01,1965,-0.09
aaronto01,1968,-0.93
aaronto01,1969,0
aaronto01,1970,-0.78
aaronto01,1971,-0.62
abadan01,2001,-0.03
abadan01,2003,-0.32
abadan01,2006,-0.02
abadijo01,1875,0.01
abadijo01,1875,-0.07
abbated01,1897,0.02
abbated01,1898,-0.5
abbated01,1903,-0.74
abbated01,1904,1.46
abbated01,1905,2.08
abbated01,1907,1.9
abbated01,1908,3.63
abbated01,1909,0.62
abbated01,1910,0.18
abbated01,1910,-0.04
abbeych01,1893,0.1
abbeych01,1894,2.19
abbeych01,1895,-0.12
abbeych01,1896,-0.75
abbeych01,1897,0.37
abbotfr01,1903,1.07
abbotfr01,1904,-0.35
abbotfr01,1905,-0.18
abbotje01,1997,-0.23
abbotje01,1998,-0.56
abbotje01,1999,-0.39
abbotje01,2000,-0.28
abbotje01,2001,0.03
abbotku01,1993,0.18
abbotku01,1994,0.07
abbotku01,1995,2.01
abbotku01,1996,-0.37
abbotku01,1997,0.25
abbotku01,1998,-0.09
abbotku01,1998,-0.55
abbotku01,1999,-0.71
abbotku01,2000,-0.41
abbotku01,2001,0.16
abbotod01,1910,-0.41
abercda01,1871,-0.07
abercre01,2006,-0.74
abercre01,2007,0.12
abercre01,2008,0.42
abernbr01,2001,1.19
abernbr01,2002,-0.18
abernbr01,2003,-0.78
abernbr01,2003,-0.03
abernbr01,2005,-0.16
aberscl01,1947,0.45
aberscl01,1948,-0.14
aberscl01,1949,-0.2
abnersh01,1987,0.31
abnersh01,1988,-0.75
abnersh01,1989,-1.23
abnersh01,1990,-1.14
abnersh01,1991,-0.68
abnersh01,1991,0.27
abnersh01,1992,1.88
abramca01,1949,-0.25
abramca01,1950,-0.43
abramca01,1951,0.9
abramca01,1952,-0.03
abramca01,1952,0.81
abramca01,1953,1.83
abramca01,1954,3.94
abramca01,1954,-0.27
abramca01,1955,1.83
abramca01,1956,0.13
abreubo01,1996,0
abreubo01,1997,0.39
abreubo01,1998,6.39
abreubo01,1999,6.09
abreubo01,2000,6.18
abreubo01,2001,5.19
abreubo01,2002,5.83
abreubo01,2003,5.37
abreubo01,2004,6.56
abreubo01,2005,3.56
abreubo01,2006,1.9
abreubo01,2006,2.02
abreubo01,2007,2.41
abreubo01,2008,2.67
abreubo01,2009,3.16
abreubo01,2010,1.85
abreubo01,2011,1.6
abreubo01,2012,-0.24
abreubo01,2012,-0.26
abreubo01,2014,-0.49
abreujo01,1942,0.1
abreujo02,2014,5.76
abreujo02,2015,3.48
abreujo02,2016,3.1
abreujo02,2017,4.97
abreujo02,2018,1.54
abreujo02,2019,2.04
abreujo02,2020,3.06
abreuto01,2007,1
abreuto01,2009,0.23
abreuto01,2010,-1.3
abreuto01,2012,-0.19
abreuto01,2013,-0.06
abreuto01,2014,-0.12
abstebi01,1906,-0.24
abstebi01,1909,0.78
abstebi01,1910,-0.98
ackledu01,2011,3.67
ackledu01,2012,2.57
ackledu01,2013,0.68
ackledu01,2014,1.88
ackledu01,2015,0.16
ackledu01,2015,-1.12
ackledu01,2016,-0.18
acostme01,1913,-0.04
acostme01,1914,-0.11
acostme01,1915,0.11
acostme01,1916,-0.04
acostme01,1918,0.75
acostme01,1918,-0.05
acunaro01,2018,4.16
acunaro01,2019,5.7
acunaro01,2020,2.27
adairje01,1958,-0.28
adairje01,1959,-0.01
adairje01,1960,0.02
adairje01,1961,2.12
adairje01,1962,2.68
adairje01,1963,-0.85
adairje01,1964,0.28
adairje01,1965,2.68
adairje01,1966,-0.06
adairje01,1966,2.11
adairje01,1967,2.32
adairje01,1967,-0.71
adairje01,1968,-0.98
adairje01,1969,-0.62
adairje01,1970,-0.32
adairji01,1931,-0.15
adamecr01,2014,-0.22
adamecr01,2015,0.05
adamecr01,2016,-0.82
adamecr01,2017,-0.41
adamecr01,2019,0.22
adamewi01,2018,1.35
adamewi01,2019,4.21
adamewi01,2020,1.87
adamsbe01,1910,0.37
adamsbe01,1911,-0.09
adamsbe01,1912,-0.43
adamsbe01,1915,-0.51
adamsbe01,1916,0.08
adamsbe01,1917,-0.12
adamsbe01,1918,-2
adamsbe01,1919,-0.31
adamsbo03,1946,2.66
adamsbo03,1947,1.17
adamsbo03,1948,1.34
adamsbo03,1949,0.2
adamsbo03,1950,2.09
adamsbo03,1951,0.71
adamsbo03,1952,2.29
adamsbo03,1953,1.86
adamsbo03,1954,1.26
adamsbo03,1955,-0.11
adamsbo03,1955,1.92
adamsbo03,1956,0.22
adamsbo03,1957,0.06
adamsbo03,1958,0.09
adamsbo03,1959,-0.11
adamsbo04,1977,-0.04
adamsbu01,1939,-0.01
adamsbu01,1943,0.81
adamsbu01,1943,-0.08
adamsbu01,1944,4.97
adamsbu01,1945,0.11
adamsbu01,1945,3.06
adamsbu01,1946,-0.16
adamsbu01,1947,0.04
adamsda02,2013,-0.37
adamsdi01,1947,-0.24
adamsdo01,1969,-0.1
adamsge01,1879,-0.05
adamsgl01,1975,0.42
adamsgl01,1976,-0.2
adamsgl01,1977,1.37
adamsgl01,1978,-0.3
adamsgl01,1979,0.02
adamsgl01,1980,-0.38
adamsgl01,1981,-1.67
adamsgl01,1982,-0.54
adamshe01,1948,0.01
adamshe01,1949,0.04
adamshe01,1950,-0.22
adamsji01,1890,-0.02
adamsla01,2014,-0.05
adamsla01,2017,0.34
adamsla01,2018,0.29
adamsma01,2012,-0.09
adamsma01,2013,1.22
adamsma01,2014,2.23
adamsma01,2015,0.03
adamsma01,2016,0.54
adamsma01,2017,0.45
adamsma01,2017,-0.25
adamsma01,2018,-0.27
adamsma01,2018,1.29
adamsma01,2019,0.1
adamsma01,2020,-0.45
adamsmi02,1972,-0.04
adamsmi02,1973,0.29
adamsmi02,1976,-0.15
adamsmi02,1977,-0.07
adamsmi02,1978,0.21
adamsri02,1982,-0.16
adamsri02,1983,0.85
adamsri02,1985,0.1
adamsru01,2004,0.63
adamsru01,2005,0.86
adamsru01,2006,-1.09
adamsru01,2007,-0.35
adamsru01,2009,-0.05
adamsry01,2011,-0.42
adamssp01,1922,-0.15
adamssp01,1923,1.1
adamssp01,1924,1.56
adamssp01,1925,2.68
adamssp01,1926,4.44
adamssp01,1927,2.03
adamssp01,1928,1.03
adamssp01,1929,-0.37
adamssp01,1930,0.7
adamssp01,1931,1.48
adamssp01,1932,0.12
adamssp01,1933,1.92
adamssp01,1933,-0.1
adamssp01,1934,0.19
adamssp02,1923,-0.22
adamssp02,1925,0.09
adamssp02,1926,-0.23
adamssp02,1927,-0.59
adcocjo01,1950,0.8
adcocjo01,1951,-0.45
adcocjo01,1952,2.04
adcocjo01,1953,1.67
adcocjo01,1954,3.53
adcocjo01,1955,0.63
adcocjo01,1956,4.81
adcocjo01,1957,1.61
adcocjo01,1958,1.4
adcocjo01,1959,3.84
adcocjo01,1960,3.67
adcocjo01,1961,3.76
adcocjo01,1962,1.71
adcocjo01,1963,0.01
adcocjo01,1964,1.81
adcocjo01,1965,0.59
adcocjo01,1966,2.16
addisbo01,1950,-0.05
addisbo01,1951,-0.03
addisbo01,1952,0.86
addisbo01,1953,0.06
addisbo01,1953,-0.08
adducji01,1983,-0.44
adducji01,1986,-0.15
adducji01,1988,-0.08
adducji01,1989,0.12
adducji02,2013,0.08
adducji02,2014,-0.12
adducji02,2017,0.44
adducji02,2018,-0.15
adducji02,2019,-0.03
addybo01,1871,0.24
addybo01,1873,0.62
addybo01,1873,0.15
addybo01,1874,0.31
addybo01,1875,0.53
addybo01,1876,0.51
addybo01,1877,0.56
adelljo01,2020,-1.33
aderhmo01,1939,-0.26
aderhmo01,1940,-0.04
aderhmo01,1941,-0.19
aderhmo01,1944,0.12
aderhmo01,1945,-0.47
aderhmo01,1945,0.83
adkindi01,1942,-0.01
adkinhe01,1895,0
adlesda01,1963,-0.32
adlesda01,1964,-0.05
adlesda01,1965,-0.24
adlesda01,1966,-0.15
adlesda01,1967,-0.51
adlesda01,1968,-0.59
adriaeh01,2013,0.08
adriaeh01,2014,-0.48
adriaeh01,2015,0.17
adriaeh01,2016,-0.08
adriaeh01,2017,0.43
adriaeh01,2018,0.19
adriaeh01,2019,0.83
adriaeh01,2020,0.12
afenitr01,1987,-0.22
afenitr01,1990,-0.08
afenitr01,1991,-0.2
afenitr01,1992,0.2
agbaybe01,1998,-0.24
agbaybe01,1999,0.63
agbaybe01,2000,2.03
agbaybe01,2001,-0.87
agbaybe01,2002,0.41
agbaybe01,2002,-0.65
ageeto01,1962,-0.28
ageeto01,1963,-0.16
ageeto01,1964,-0.24
ageeto01,1965,-0.15
ageeto01,1966,6.41
ageeto01,1967,4.63
ageeto01,1968,-0.09
ageeto01,1969,5.19
ageeto01,1970,5.4
ageeto01,1971,3.47
ageeto01,1972,0.08
ageeto01,1973,0.56
ageeto01,1973,0.54
agganha01,1954,-0.36
agganha01,1955,0.77
aglerjo01,1912,-0.03
aglerjo01,1914,0.96
aglerjo01,1915,-1.04
aglerjo01,1915,-0.16
agnewsa01,1913,1.89
agnewsa01,1914,0.86
agnewsa01,1915,0.5
agnewsa01,1916,0.93
agnewsa01,1917,0.27
agnewsa01,1918,0.16
agnewsa01,1919,0.74
aguaylu01,1980,0.37
aguaylu01,1981,-0.27
aguaylu01,1982,0.49
aguaylu01,1983,-0.07
aguaylu01,1984,1.05
aguaylu01,1985,1.45
aguaylu01,1986,-0.34
aguaylu01,1987,0.57
aguaylu01,1988,-0.68
aguaylu01,1988,0.36
aguaylu01,1989,-0.22
aguilch01,2004,0.03
aguilch01,2005,-0.44
aguilch01,2006,-0.28
aguilch01,2008,-0.18
aguilje01,2014,-0.49
aguilje01,2015,-0.22
aguilje01,2016,-0.21
aguilje01,2017,1.06
aguilje01,2018,3.22
aguilje01,2019,-0.46
aguilje01,2019,0.23
aguilje01,2020,0.66
ahearch01,1880,-0.16
ahmedni01,2014,-0.13
ahmedni01,2015,1.09
ahmedni01,2016,0.38
ahmedni01,2017,0.4
ahmedni01,2018,4.39
ahmedni01,2019,4.31
ahmedni01,2020,1.55
aikenwi01,1977,-0.67
aikenwi01,1979,2.39
aikenwi01,1980,1.55
aikenwi01,1981,1.86
aikenwi01,1982,1.59
aikenwi01,1983,2.08
aikenwi01,1984,-0.76
aikenwi01,1985,-0.11
aingeda01,1979,-0.61
aingeda01,1980,-0.32
aingeda01,1981,-1.11
ainsmed01,1910,0
ainsmed01,1911,-0.43
ainsmed01,1912,0.24
ainsmed01,1913,0.2
ainsmed01,1914,-0.47
ainsmed01,1915,0.2
ainsmed01,1916,0.44
ainsmed01,1917,0.92
ainsmed01,1918,1.3
ainsmed01,1919,2.04
ainsmed01,1920,-0.21
ainsmed01,1921,0.16
ainsmed01,1921,-0.23
ainsmed01,1922,2.54
ainsmed01,1923,-0.14
ainsmed01,1923,-0.34
ainsmed01,1924,0.11
aitonge01,1912,-0.01
akejo01,1884,-0.32
akersbi01,1929,0.04
akersbi01,1930,1.57
akersbi01,1931,-0.49
akersbi01,1932,0.17
akiyash01,2020,0.73
alberbu01,1978,-0.07
albergu01,1884,-0.11
albergu01,1884,0.12
albergu01,1888,1.18
albergu01,1891,-0.56
alberha01,2015,0.35
alberha01,2016,-0.6
alberha01,2018,-0.28
alberha01,2019,2.94
alberha01,2020,0.72
albieoz01,2017,1.32
albieoz01,2018,4.53
albieoz01,2019,5.17
albieoz01,2020,0.7
albrija01,1947,0.11
alcanar01,2014,0.56
alcanar01,2015,-0.32
alcanar01,2016,-0.34
alcanar01,2017,-0.53
alcanis01,2000,0.29
alcanis01,2001,-0.33
alcanis01,2002,-0.33
alcanse01,2020,-0.3
alcarlu01,1967,-0.38
alcarlu01,1968,-0.72
alcarlu01,1969,0.4
alcarlu01,1970,-0.97
alcocsc01,1914,-0.65
aldremi01,1986,1.7
aldremi01,1987,3.38
aldremi01,1988,1.31
aldremi01,1989,-0.13
aldremi01,1990,0.73
aldremi01,1991,0.5
